fertilizer_name,uses,description,average_price,image_url,crop_type,soil_type,nutrient_focus
Calcium Nitrate (15.5-0-0 + 19% Ca),Supplies calcium for strong cell walls; prevents blossom-end rot; provides fast-acting nitrogen,"Calcium Nitrate is a fully water-soluble fertilizer used primarily in fertigation. It supplies both calcium and nitrate nitrogen, preventing disorders like blossom-end rot in tomato and tip burn in lettuce.",₹75 per kg,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Tomato; Capsicum; Apple; Lettuce,Sandy; Acidic; Light soils,N-Ca
Ammonium Nitrate,Provides dual-form nitrogen for sustained release; promotes vigorous vegetative growth,"Ammonium Nitrate (34% N) contains both nitrate and ammoniacal nitrogen, offering both quick and slow nitrogen release. It is effective across a wide range of soil types but must be handled with care due to its hygroscopic nature.",₹950 per 50kg bag,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Wheat; Barley; Maize; Vegetables,Loamy; Sandy loam; Alluvial,N
Sulphur (Elemental),Corrects sulphur deficiency; acidifies alkaline soils; improves protein and oil content in crops,"Elemental Sulphur (90% S) is used to lower soil pH in alkaline and saline-sodic soils and to supply sulphur nutrition to crops like oilseeds and pulses. It is oxidized in soil by bacteria to form sulphate, which is then available to plants.",₹40 per kg,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Mustard; Groundnut; Onion; Garlic,Alkaline; Calcareous; Black cotton soils,S
Copper Sulphate,Corrects copper deficiency; suppresses fungal diseases in soil; improves enzyme activity,"Copper Sulphate (25% Cu) is used both as a micronutrient fertilizer and a fungicide. Copper deficiency is common in peat soils and causes dieback and wilting; copper application restores normal growth and photosynthesis.",₹150 per kg,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Wheat; Citrus; Vegetables; Paddy,Peat; Sandy; Highly leached soils,Micronutrients (Cu)
Manganese Sulphate,Corrects manganese deficiency; improves photosynthesis and nitrogen assimilation,"Manganese Sulphate (30–32% Mn) is used to treat manganese deficiency that appears as interveinal chlorosis in young leaves. It is commonly applied as a foliar spray for quick correction in neutral to alkaline soils.",₹90 per kg,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Soybean; Wheat; Citrus; Beet,Alkaline; Sandy; Calcareous soils,Micronutrients (Mn)
Molybdenum (Sodium Molybdate),Promotes nitrogen fixation in legumes; corrects molybdenum deficiency; improves protein synthesis,"Sodium Molybdate is used in very small quantities to correct molybdenum deficiency, which is critical for nitrogen fixation in legumes and nitrate reductase activity. Seed treatment with molybdenum is a common and cost-effective practice.",₹800 per kg,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Legumes; Pulses; Cauliflower; Soybean,Acidic; Sandy; Leached soils,Micronutrients (Mo)
Biofertilizer – Rhizobium,Fixes atmospheric nitrogen symbiotically in legume root nodules; reduces chemical nitrogen requirement,"Rhizobium is a nitrogen-fixing bacterial biofertilizer that forms symbiotic nodules on legume roots. It can fix 50–200 kg N/ha per season, significantly reducing the need for chemical nitrogen fertilizers.",₹60 per 200g packet,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Soybean; Groundnut; Chickpea; Lentil,All soil types,N (Biological fixation)
Biofertilizer – Azospirillum,Fixes free-living atmospheric nitrogen; promotes root growth through auxin production,"Azospirillum is a free-living nitrogen-fixing bacteria used for non-leguminous crops. It also produces growth-promoting hormones that enhance root branching and nutrient uptake efficiency.",₹60 per 200g packet,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Rice; Wheat; Maize; Sorghum,Loamy; Sandy loam; Red soil,N (Biological fixation)
Biofertilizer – PSB (Phosphate Solubilizing Bacteria),Solubilizes fixed soil phosphorus; improves phosphorus availability; reduces phosphatic fertilizer usage,"PSB inoculants contain bacteria like Bacillus and Pseudomonas that convert insoluble soil phosphorus compounds into plant-available forms. Regular use reduces chemical phosphorus application by 20–25%.",₹60 per 200g packet,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,All crops; Vegetables; Pulses; Cereals,All soil types; especially P-fixing soils,P (Biological solubilization)
Mycorrhizal Biofertilizer (VAM),Extends root absorption zone; improves phosphorus and water uptake; enhances stress tolerance,"Vesicular Arbuscular Mycorrhiza (VAM) forms symbiotic associations with plant roots and dramatically increases the root absorption surface area. It is especially effective in phosphorus-deficient and drought-prone soils.",₹250 per kg,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Fruits; Flowers; Vegetables; Plantation crops,Degraded; Sandy; Low-phosphorus soils,P-Micronutrients (Biological)
Green Manure (Dhaincha – Sesbania),Adds nitrogen to soil through incorporation; improves organic matter; suppresses weeds,"Dhaincha (Sesbania bispinosa) is one of the most popular green manure crops in India. It fixes 80–100 kg N/ha and when incorporated before flowering significantly enriches soil organic matter and nitrogen status.",₹80 per kg (seed),https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Paddy; Sugarcane; Vegetables (pre-crop),Waterlogged; Heavy clay; Low-fertility soils,N-Organic matter
Castor Cake,Improves soil organic matter; supplies nitrogen; deters nematodes and soil pests,"Castor Cake is the residue after oil extraction from castor seeds. It contains about 4–5% N and acts as a slow-release organic nitrogen fertilizer. It also has pesticidal properties that suppress soil nematodes.",₹18 per kg,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Vegetables; Flowers; Ornamentals; Fruits,All soil types,N-Organic matter
Groundnut Cake,Supplies nitrogen; improves soil microbial activity; enhances soil moisture retention,"Groundnut Cake (6–8% N; 1.5% P) is a rich organic fertilizer obtained after oil extraction. It decomposes relatively quickly in soil and is a popular organic nutrient source in South India.",₹25 per kg,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Vegetables; Sugarcane; Fruits; Floriculture,Sandy; Red; Laterite soils,N-P (Organic)
Poultry Manure (Broiler),Provides high nitrogen and phosphorus; improves soil biology; acts as fast-release organic fertilizer,"Dried poultry manure contains 3–4% N; 2.5–3% P2O5 and 2% K2O, making it one of the richest organic manures available. It is particularly effective for vegetable crops and improves soil microbial populations significantly.",₹6 per kg (bulk),https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Vegetables; Fruits; Flowers; Field crops,All soil types,N-P-K (Organic)
Fish Meal,Provides fast-acting organic nitrogen; supplies amino acids and micronutrients; promotes microbial activity,"Fish Meal contains 8–12% N along with phosphorus, calcium, and trace minerals. It decomposes quickly and is a valuable input in organic vegetable and fruit farming, especially in coastal regions.",₹45 per kg,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Vegetables; Paddy; Sugarcane; Fruits,Sandy; Laterite; Degraded soils,N-P-Ca (Organic)
Compost (Municipal/Farm),Improves soil structure and moisture retention; recycles organic waste; provides balanced slow-release nutrients,"Quality compost contains 1–2% N; 0.5–1% P and 0.5–1.5% K along with humus and beneficial microorganisms. Long-term use rebuilds degraded soil fertility and is fundamental to sustainable farming.",₹3000 per tonne,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Garden_compost_heap.jpg/320px-Garden_compost_heap.jpg,All crops; especially Vegetables and Orchards,All degraded and low-organic-matter soils,Organic matter; N-P-K
Potassium Humate,Improves soil CEC and water retention; enhances potassium and micronutrient availability; stimulates root growth,"Potassium Humate is derived from weathered leonardite and provides both humic acids and soluble potassium. It chelates soil nutrients, improves soil aggregation, and is particularly effective in saline and compacted soils.",₹180 per kg,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Cotton; Sugarcane; Fruits; Vegetables,Saline; Compacted; Sandy soils,K-Organic matter
Amino Acid Fertilizer,Stimulates plant metabolism; improves stress recovery; enhances nutrient absorption and protein synthesis,"Hydrolyzed amino acid fertilizers provide free L-amino acids that are directly absorbed by plants through leaves and roots. They improve nitrogen use efficiency, enhance enzyme activity, and help crops recover from abiotic stress.",₹500 per litre,https://images.unsplash.com/photo-1568702846914-96b305d2aaeb?w=400,All crops; especially Horticulture; Flowers; Fruits,All soil types,Biostimulant; N (Organic)
Silica Fertilizer (Calcium Silicate),Strengthens cell walls and improves lodging resistance; enhances pest and disease resistance,"Calcium Silicate supplies silicon and calcium to crops, strengthening epidermal cell walls which makes plants more resistant to fungal infections, insect damage, and lodging. It is highly recommended for paddy cultivation.",₹20 per kg,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Paddy; Sugarcane; Wheat; Turf grass,Acidic; Sandy; Silica-depleted soils,Si-Ca (Secondary nutrient)
Gypsum (Calcium Sulphate),Reclaims sodic soils; supplies calcium and sulphur; improves soil structure in clay soils,"Gypsum (23% Ca; 18% S) is a valuable soil amendment that replaces exchangeable sodium in sodic soils, improving soil structure and drainage. It also supplies sulphur and calcium without affecting soil pH.",₹5 per kg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Gypsum_from_Amboy%2C_California.jpg/320px-Gypsum_from_Amboy%2C_California.jpg,All crops; especially Groundnut; Oilseeds; Pulses,Sodic; Saline-sodic; Clay soils,Ca-S
Lime (Agricultural Lime / CaCO3),Corrects soil acidity; improves phosphorus and molybdenum availability; promotes beneficial soil microorganisms,"Agricultural Lime (CaCO3) is the primary material used to raise soil pH in acidic soils. It neutralizes soil acidity, improves the availability of essential nutrients, and creates favorable conditions for nitrogen-fixing bacteria.",₹3 per kg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Calcite_limestone_chunks.jpg/320px-Calcite_limestone_chunks.jpg,All crops grown on acidic soils,Acidic; Laterite; Tea garden soils,Ca (Liming material)
Dolomite,Corrects soil acidity while supplying both calcium and magnesium; improves soil structure,"Dolomite contains approximately 21% Ca and 11% Mg and is preferred over calcitic lime when soils are also deficient in magnesium. It is a slow-acting liming material that provides sustained pH correction.",₹4 per kg,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Tea; Coffee; Fruits; Vegetables,Acidic; Mg-deficient soils,Ca-Mg (Liming material)
NPK 15-15-15,Provides balanced equal-ratio N-P-K nutrition; suitable for maintenance fertilization; versatile for multiple crops,"NPK 15-15-15 is a general-purpose compound fertilizer offering equal and balanced nutrition. It is commonly used as a basal dose in diverse crops where soil nutrient status is moderate and balanced nutrition is needed.",₹1400 per 50kg bag,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Vegetables; Fruits; Field crops; Turf,All soil types,N-P-K
Chelated Micronutrient Mix (EDTA),Corrects multiple micronutrient deficiencies simultaneously; highly bioavailable; effective in high-pH soils,"EDTA-chelated micronutrient mixes supply Zn; Fe; Mn; Cu; and B in a form that resists fixation in alkaline soils. They are used as foliar sprays or soil applications for rapid correction of complex deficiencies.",₹400 per kg,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400,Fruits; Vegetables; Floriculture; Plantation,Alkaline; Calcareous; Sandy soils,Micronutrients (Zn-Fe-Mn-Cu-B)
